ITEM,HS CODE,GOODS DESCRIPTION 
330,12129900,Other vegetable products(incl sugar cane) used for human consumption nes
331,12141000,Lucerne (alfalfa) meal and pellets
332,12149000,"Other forage products, nes"
333,13012000,Natural gum arabic
334,13019000,"Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. gumarabic)"
335,13021200,Liquorice sap and extract
336,13021900,"Other vegetable saps and extracts, nes"
337,13022000,"Pectic substances, pectinates and pectates"
338,13023200,"Mucilages and thickeners of locust beans, bean seeds and guar seeds"
339,13023900,"Mucilages and thickeners, derived from vegetable products, nes"
340,14011000,Bamboos
341,14042000,Cotton linters
342,15021000,Tallow
343,15029000,Other fats of bovine animals
344,15030000,"Lard stearin, lardoil, oleostearin, oleo-oil and tallow oil"
345,15042000,"Fish fats, oils and fractions (excl. fish liver oils)"
346,15050000,Wool grease and fatty substances derived therefrom (incl lanolin)
347,15060000,Other animal fats and oils and their fractions
348,15071000,"Crude soya bean oil, whether or not degummed"
349,15079010,Cooking oil of soya-bean
350,15079090,Other soya-bean oil (excl. crude) and its fractions
351,15089010,Cooking oil of ground-nut
352,15091000,Virgin olive oil
353,15099010,Cooking oli of olive oil
354,15099090,Other olive oil (excl. virgin) and its fractions
355,15111000,Crude palm oil
356,15119010,Cooking oil of palm oil
357,15119090,Other palm oil (excl. crude) and  fractions
358,15121910,Cooking oil of sunflower seed
359,15121990,Other safflower oil (excl. crude) and fractions
360,15122910,Cooking oil of cotton seed
361,15122990,Other cotton-seed oil (excl. crude) and fractions
362,15131100,Crude coconut (copra) oil
363,15131990,Other coconut copra oil (excl. crude) and fractions
364,15132910,Cooking oil of palm kernel or babassu
365,15132990,Other palm kernel or babassu oil (excl. crude) and fractions
366,15149900,"Other oil,nes"
367,15151100,Crude linseed oil
368,15151900,"Linseed oil (excl.crude)& fractions,refined or not,not chemically modified"
369,15152910,Cooking oil of maize
370,15153000,Castor oil and its fractions
371,15155010,Cooking oil of sesame oil
372,15155090,Other sesame oil and its fractions
373,15159010,Vegetable tallow
374,15159020,"Cooking oil, nes"
375,15159090,Other vegetable oils (incl jojoba oil) and its fractions nes
376,15162010,Industrial hydrogenated palm fat
377,15162090,Vegetable fats and oils and their fractions nes
378,15171000,Margarine (excl. liquid)
379,15179000,"Edible preparations of fats and oils, nes"
380,15180010,Expoxidised soya bean oil
381,15180090,"Animal or vegetable fats & their fractions, chemically modified excl. oils"
382,15200000,"Glycerol, crude, glycerol waters and glycerol lyes"
383,15211000,Vegetable waxes (excl. triglycerides)
384,15219000,"Beeswax, other insect waxes and spermaceti"
385,16010000,Sausages and similar products; food preparations based on these products
386,16021000,"Homogenized preparations of meat, meat offalor blood"
387,16023200,"Prepared/preserved meat,offal/blood of fowls of species gallus domesticus"
388,16024100,"Preparations of swine, hams and cuts"
389,16024900,"Preparations of swine meat, including mixtures, nes"
390,16025000,Preparations of meat of bovine animals
391,16029000,"Preparations of meat (incl.preparations of blood of any animal), nes"
392,16030090,Other extracts ...nes
393,16041110,Potted or tinned salmon
394,16041190,"Salmon not tinned, whole or in pieces but not minced"
395,16041310,"Salt water potted or tinned sardines,sardinella ,brisling and sprats"
396,16041390,"Sardines... sprats not tinned, whole or in pieces but not minced"
397,16041410,"Tuna... bonito in tins, whole or in pieces but not minced"
398,16041490,"Tuna... bonito not tinned, whole or in pieces but not minced"
399,16041510,"Mackerel in tins, whole or in pieces but not minced"
400,16041600,Prepared or preserved anchovies (excl. minced)
401,16041910,Potted or tinned prepared or preserved fish ...nes
402,16041990,"Fish, nes, not tinned, whole or in pieces but not minced"
403,16042021,"Other prepared or preserved fish nes, in tins, salt water"
404,16042029,"Other prepared or preserved fish nes, not tinned, salt water"
405,16042090,"Other prepared or preserved fish of fresh water,incl minced"
406,16051090,Prepared or preserved crab (excl tinned salt water crab)
407,16052119,Other not potted or tinned salt water shrimps and prawns not in air tight containers
408,16052190,Shrimps and prawns of fresh water not in air tight containers
409,16055111,Oysters of salt water potted or tinned
410,16055119,Oysters of salt water (excl potted or tinned)
411,16055311,"Mussels of salt water,  potted or tinned"
412,16055319,"Mussels of salt water, not potted or tinned"
413,16055490,Cuttle fish and squid of fresh water
414,16055819,"Snails, other than sea snails of salt water(excl. potted or tinned)"
415,17011400,Other cane sugar not containing added flavouring or colouring matter
416,17019100,"Cane or beet sugar, containing added flavouring or colouring"
417,17019900,"Cane or beet sugar, in solid form, nes"
418,17021110,LACTOSE CONT. BY WEIGHT >= 99% LACTOSE CALC.
419,17021190,"OTHER COLOURING MATTER, ART. HONEY, CARAMEL CONT. >=99% LACTOSE"
420,17021900,Lactose and lactose syrup cont by weight  <99% lactose cal  on dry matter
421,17022000,Maple sugar and maple syrup
422,17023000,"Glucose and glucose syrup, containing <20% fructose"
423,17024000,"Glucose and glucose syrup, containing >=20% but <50% fructose(excl invert sugar)"
424,17026000,"Other fructose and fructose syrup, containing >50% fructose (excl invert sugar)"
425,17029000,"Other sugars,artificial honey, (incl invert sugar)and syrup blends 50% of fructose"
426,17031000,Cane molasses resulting from the extraction or refining of sugar
427,17039000,Molasses resulting from the extraction or refining of sugar (excl. cane)
428,17041000,Chewing gum
429,17049000,"Sugar confectionery (incl. white chocolate), not containing cocoa, nes"
430,18010000,"Cocoa beans, whole or broken, raw or roasted"
431,18040000,"Cocoa butter, fat and oil"
432,18050000,"Cocoa powder, not containing added sugar or other sweetening matter"
433,18061000,"Cocoa powder, containing added sugar or other sweetening matter"
434,18062000,"Chocolate, etc, containing cocoa, in blocks, slabs or bars >2kg"
435,18063100,"Chocolate, etc, containing cocoa, in blocks, slabs or bars, filled"
436,18063200,"Chocolate, etc, containing cocoa in blocks, slabs or bars, not filled"
437,18069000,"Chocolate, etc, containing cocoa, not in blocks, slabs or bars, nes"
438,19011000,"Preparations for infant use, for retail sale, of flour, etc"
439,19012000,Mixes and doughs for preparation of bakers' wares of 19.05
440,19019010,Food preparations of flour  meal starch or  malt extract for infant foods
441,19019020,"Food preparations of flour..for dietetic or culinary purposes,exc puddings & cake powder"
442,19019090,Other food preparations of flour nes.. (excl 19019010 and 19019020)
443,19021100,Uncooked pasta containing eggs not stuffed
444,19021900,"Uncooked pasta, not containing eggs, not stuffed"
445,19022000,"Stuffed pasta,whether or not cooked or otherwise prepared"
446,19023000,"Other pasta, nes"
447,19024000,Couscous
448,19030000,"Tapioca and substitutes prepared from starch in flakes, grains, etc"
449,19041010,Corn snacks and puffs
450,19041020,Other corn snacks and puffs
451,19042000,Prepared foods obtned from unroasted cereal flakes mixtures unroasted/rstd
452,19049000,Other prepared cereals in grain form (excl. maize)
453,19051000,Crispbread
454,19052000,Gingerbread and the like
455,19053100,Sweet biscuits
456,19053200,Waffles and wafers
457,19054000,"Rusks, toasted bread and similar toasted products"
458,19059010,Plain bread
459,19059020,Plain buns and rolls
460,19059090,"Other bread, cakes,buiscuts, etc, nes; communion wafers, rice paper, etc"
